action,gbifID,datasetKey,license,occurrenceID,basisOfRecord,dateIdentified,decimalLatitude,decimalLongitude,country,countryCode,eventDate,year,kingdom,family,identifiedBy,institutionCode,collectionCode,catalogNumber,recordedBy,scientificName,typeStatus,recordedByID,identifiedByID,BIONOMIAcreatedBy,BIONOMIAcreatedByURI,BIONOMIAcreated
recorded,1998726160,861e6afe-f762-11e1-a439-00145eb45e9a,CC_BY_4_0,5fbcbde2-e709-4542-b68d-59d41ff4402f,PRESERVED_SPECIMEN,,,,Georgia,GE,1890-07-08,1890,Plantae,Brassicaceae,,A,A,barcode-00018560,C. P. S. Sommier & E. Levier,Alyssum cuneipetalum Nyárády,isotype,,,Joaquim Santos,https://orcid.org/0000-0002-2160-4968,2023-10-13 09:34:25 UTC
recorded,1998734337,861e6afe-f762-11e1-a439-00145eb45e9a,CC_BY_4_0,6188acba-cbff-4741-b6c2-428b0c7f0f6c,PRESERVED_SPECIMEN,,,,Georgia,GE,1890-07-08,1890,Plantae,Brassicaceae,,A,A,barcode-00018559,C. P. S. Sommier & E. Levier,Alyssum serpyllifolium var. longistyllum Sommier & Levier,isotype,,,Joaquim Santos,https://orcid.org/0000-0002-2160-4968,2023-10-13 09:34:25 UTC
recorded,1897756470,83ae84cf-88e4-4b5c-80b2-271a15a3e0fc,CC_BY_4_0,urn:catalog:AK:AK:AK112215,PRESERVED_SPECIMEN,,38.8029166666667,-9.38163888888889,Portugal,PT,03/Aug/1878,,Plantae,Davalliaceae,,AK,AK,AK112215,E Levier,Davallia canariensis (L.) Sm.,,,,Joaquim Santos,https://orcid.org/0000-0002-2160-4968,2023-10-13 09:34:25 UTC
recorded,1897788747,83ae84cf-88e4-4b5c-80b2-271a15a3e0fc,CC_BY_4_0,urn:catalog:AK:AK:AK95660,PRESERVED_SPECIMEN,,43.7787222222222,11.3166944444444,Italy,IT,13/May/1886,,Plantae,Amaryllidaceae,,AK,AK,AK95660,E Levier,Allium roseum subsp. bulbiferum L.,,,,Joaquim Santos,https://orcid.org/0000-0002-2160-4968,2023-10-13 09:34:25 UTC
recorded,1897832301,83ae84cf-88e4-4b5c-80b2-271a15a3e0fc,CC_BY_4_0,urn:catalog:AK:AK:AK361951,PRESERVED_SPECIMEN,,45.9,8.35,Italy,IT,05/Sep/1885,,Plantae,Lycopodiaceae,,AK,AK,AK361951,E Levier,Lycopodium annotinum L.,,,,Joaquim Santos,https://orcid.org/0000-0002-2160-4968,2023-10-13 09:34:25 UTC
recorded,1897832396,83ae84cf-88e4-4b5c-80b2-271a15a3e0fc,CC_BY_4_0,urn:catalog:AK:AK:AK110863,PRESERVED_SPECIMEN,,45.9,8.35,Italy,IT,01/Aug/1880,,Plantae,Lycopodiaceae,,AK,AK,AK110863,E Levier,Lycopodium annotinum L.,,,,Joaquim Santos,https://orcid.org/0000-0002-2160-4968,2023-10-13 09:34:25 UTC
recorded,1897833039,83ae84cf-88e4-4b5c-80b2-271a15a3e0fc,CC_BY_4_0,urn:catalog:AK:AK:AK110928,PRESERVED_SPECIMEN,,46.45,10.4333333333333,Italy,IT,19/Jul/1871,,Plantae,Selaginellaceae,,AK,AK,AK110928,E Levier,Selaginella helvetica (L.) Spring,,,,Joaquim Santos,https://orcid.org/0000-0002-2160-4968,2023-10-13 09:34:25 UTC
recorded,1897833073,83ae84cf-88e4-4b5c-80b2-271a15a3e0fc,CC_BY_4_0,urn:catalog:AK:AK:AK110932,PRESERVED_SPECIMEN,,44.1,9.81666666666667,Italy,IT,12/Apr/1883,,Plantae,Selaginellaceae,,AK,AK,AK110932,E Levier,Selaginella denticulata (L.) Link,,,,Joaquim Santos,https://orcid.org/0000-0002-2160-4968,2023-10-13 09:34:25 UTC
recorded,1897833276,83ae84cf-88e4-4b5c-80b2-271a15a3e0fc,CC_BY_4_0,urn:catalog:AK:AK:AK110962,PRESERVED_SPECIMEN,,40.2,-5.01666666666667,Spain,ES,12/Aug/1878,,Plantae,Isoetaceae,,AK,AK,AK110962,E Levier,Isoetes longissima subsp. longissima Bory,,,,Joaquim Santos,https://orcid.org/0000-0002-2160-4968,2023-10-13 09:34:25 UTC
recorded,1897833647,83ae84cf-88e4-4b5c-80b2-271a15a3e0fc,CC_BY_4_0,urn:catalog:AK:AK:AK110630,PRESERVED_SPECIMEN,,43.4833333333333,11.3666666666667,Italy,IT,01/Jun/1876,,Plantae,Equisetaceae,,AK,AK,AK110630,E Levier,Equisetum ramosissimum Desf.,,,,Joaquim Santos,https://orcid.org/0000-0002-2160-4968,2023-10-13 09:34:25 UTC
recorded,1897833820,83ae84cf-88e4-4b5c-80b2-271a15a3e0fc,CC_BY_4_0,urn:catalog:AK:AK:AK111277,PRESERVED_SPECIMEN,,46.55,7.83333333333333,Switzerland,CH,01/Jul/1859,,Plantae,Ophioglossaceae,,AK,AK,AK111277,E Levier,Botrychium lunaria Sw.,,,,Joaquim Santos,https://orcid.org/0000-0002-2160-4968,2023-10-13 09:34:25 UTC
recorded,1897834251,83ae84cf-88e4-4b5c-80b2-271a15a3e0fc,CC_BY_4_0,urn:catalog:AK:AK:AK111934,PRESERVED_SPECIMEN,,45.9166666666667,8.26666666666667,Italy,IT,01/Aug/1880,,Plantae,Pteridaceae,,AK,AK,AK111934,E Levier,Cryptogramma crispa R.Br.,,,,Joaquim Santos,https://orcid.org/0000-0002-2160-4968,2023-10-13 09:34:25 UTC
recorded,1897834351,83ae84cf-88e4-4b5c-80b2-271a15a3e0fc,CC_BY_4_0,urn:catalog:AK:AK:AK111868,PRESERVED_SPECIMEN,,42.8,-6.53333333333333,Spain,ES,19/Jul/1878,,Plantae,Pteridaceae,,AK,AK,AK111868,E Levier,Cheilanthes hispanica Mett.,,,,Joaquim Santos,https://orcid.org/0000-0002-2160-4968,2023-10-13 09:34:25 UTC
recorded,1897834353,83ae84cf-88e4-4b5c-80b2-271a15a3e0fc,CC_BY_4_0,urn:catalog:AK:AK:AK112006,PRESERVED_SPECIMEN,,43.9333333333333,11.05,Italy,IT,03/Jun/1866,,Plantae,Pteridaceae,,AK,AK,AK112006,E Levier,Paragymnopteris marantae var. marantae (L.) K.H.Shing.,,,,Joaquim Santos,https://orcid.org/0000-0002-2160-4968,2023-10-13 09:34:25 UTC
recorded,1897834504,83ae84cf-88e4-4b5c-80b2-271a15a3e0fc,CC_BY_4_0,urn:catalog:AK:AK:AK112080,PRESERVED_SPECIMEN,,40.7,14.7,Italy,IT,14/Aug/1872,,Plantae,Pteridaceae,,AK,AK,AK112080,E Levier,Adiantum capillus-veneris L.,,,,Joaquim Santos,https://orcid.org/0000-0002-2160-4968,2023-10-13 09:34:25 UTC
recorded,1897834713,83ae84cf-88e4-4b5c-80b2-271a15a3e0fc,CC_BY_4_0,urn:catalog:AK:AK:AK111920,PRESERVED_SPECIMEN,,40.85,14.25,Italy,IT,01/Sep/1875,,Plantae,Pteridaceae,,AK,AK,AK111920,E Levier,Pteris vittata L.,,,,Joaquim Santos,https://orcid.org/0000-0002-2160-4968,2023-10-13 09:34:25 UTC
recorded,1897840035,83ae84cf-88e4-4b5c-80b2-271a15a3e0fc,CC_BY_4_0,urn:catalog:AK:AK:AK112612,PRESERVED_SPECIMEN,,45.9833333333333,9.08333333333333,Italy,IT,01/Jul/1867,,Plantae,Thelypteridaceae,,AK,AK,AK112612,E Levier,Oreopteris limbosperma (All.) J.Holub,,,,Joaquim Santos,https://orcid.org/0000-0002-2160-4968,2023-10-13 09:34:25 UTC
recorded,1897840292,83ae84cf-88e4-4b5c-80b2-271a15a3e0fc,CC_BY_4_0,urn:catalog:AK:AK:AK113070,PRESERVED_SPECIMEN,,43.8250277777778,10.7015555555556,Italy,IT,12/Jul/1874,,Plantae,Thelypteridaceae,,AK,AK,AK113070,E Levier,Thelypteris palustris (A.Gray) Schott,,,,Joaquim Santos,https://orcid.org/0000-0002-2160-4968,2023-10-13 09:34:25 UTC
recorded,1897841109,83ae84cf-88e4-4b5c-80b2-271a15a3e0fc,CC_BY_4_0,urn:catalog:AK:AK:AK113337,PRESERVED_SPECIMEN,,42.13975,13.6080833333333,Italy,IT,01/Aug/1876,,Plantae,Aspleniaceae,,AK,AK,AK113337,E Levier,Asplenium fissum Willd.,,,,Joaquim Santos,https://orcid.org/0000-0002-2160-4968,2023-10-13 09:34:25 UTC
recorded,1897841112,83ae84cf-88e4-4b5c-80b2-271a15a3e0fc,CC_BY_4_0,urn:catalog:AK:AK:AK113316,PRESERVED_SPECIMEN,,38.8029166666667,-9.38163888888889,Portugal,PT,02/Aug/1878,,Plantae,Aspleniaceae,,AK,AK,AK113316,E Levier,Asplenium hemionitis L.,,,,Joaquim Santos,https://orcid.org/0000-0002-2160-4968,2023-10-13 09:34:25 UTC
recorded,1897841261,83ae84cf-88e4-4b5c-80b2-271a15a3e0fc,CC_BY_4_0,urn:catalog:AK:AK:AK113388,PRESERVED_SPECIMEN,,40.8589722222222,14.2016944444444,Italy,IT,13/Sep/1875,,Plantae,Aspleniaceae,,AK,AK,AK113388,E Levier,Asplenium onopteris L.,,,,Joaquim Santos,https://orcid.org/0000-0002-2160-4968,2023-10-13 09:34:25 UTC
recorded,1897841392,83ae84cf-88e4-4b5c-80b2-271a15a3e0fc,CC_BY_4_0,urn:catalog:AK:AK:AK113998,PRESERVED_SPECIMEN,,38.8029166666667,-9.38163888888889,Portugal,PT,03/Aug/1878,,Plantae,Aspleniaceae,,AK,AK,AK113998,E Levier,Asplenium obovatum Viv.,,,,Joaquim Santos,https://orcid.org/0000-0002-2160-4968,2023-10-13 09:34:25 UTC
recorded,1897841488,83ae84cf-88e4-4b5c-80b2-271a15a3e0fc,CC_BY_4_0,urn:catalog:AK:AK:AK113511,PRESERVED_SPECIMEN,,40.6965277777778,14.4976111111111,Italy,IT,01/Sep/1875,,Plantae,Aspleniaceae,,AK,AK,AK113511,E Levier,Asplenium trichomanes L.,,,,Joaquim Santos,https://orcid.org/0000-0002-2160-4968,2023-10-13 09:34:25 UTC
recorded,1897841652,83ae84cf-88e4-4b5c-80b2-271a15a3e0fc,CC_BY_4_0,urn:catalog:AK:AK:AK113452,PRESERVED_SPECIMEN,,-45.7289444444444,11.1751944444444,Italy,IT,26/Jul/1877,,Plantae,Aspleniaceae,,AK,AK,AK113452,E Levier,Asplenium viride Huds.,,,,Joaquim Santos,https://orcid.org/0000-0002-2160-4968,2023-10-13 09:34:25 UTC
recorded,1897841715,83ae84cf-88e4-4b5c-80b2-271a15a3e0fc,CC_BY_4_0,urn:catalog:AK:AK:AK113322,PRESERVED_SPECIMEN,,45.9323333333333,8.27061111111111,Italy,IT,01/Aug/1880,,Plantae,Aspleniaceae,,AK,AK,AK113322,E Levier,Asplenium alternifolium Wulf.,,,,Joaquim Santos,https://orcid.org/0000-0002-2160-4968,2023-10-13 09:34:25 UTC
recorded,1897842645,83ae84cf-88e4-4b5c-80b2-271a15a3e0fc,CC_BY_4_0,urn:catalog:AK:AK:AK113808,PRESERVED_SPECIMEN,,44.1401666666667,10.6726944444444,Italy,IT,06/Aug/1883,,Plantae,Blechnaceae,,AK,AK,AK113808,E Levier,Blechnum spicant (L.) Roth,,,,Joaquim Santos,https://orcid.org/0000-0002-2160-4968,2023-10-13 09:34:25 UTC
recorded,1897842673,83ae84cf-88e4-4b5c-80b2-271a15a3e0fc,CC_BY_4_0,urn:catalog:AK:AK:AK113812,PRESERVED_SPECIMEN,,38.7918055555556,-9.41680555555556,Portugal,PT,01/Jan/1878,,Plantae,Blechnaceae,,AK,AK,AK113812,E Levier,Blechnum spicant (L.) Roth,,,,Joaquim Santos,https://orcid.org/0000-0002-2160-4968,2023-10-13 09:34:25 UTC
recorded,1897842774,83ae84cf-88e4-4b5c-80b2-271a15a3e0fc,CC_BY_4_0,urn:catalog:AK:AK:AK95700,PRESERVED_SPECIMEN,,43.7713888888889,11.2422777777778,Italy,IT,01/Jun/1887,,Plantae,Amaryllidaceae,,AK,AK,AK95700,E Levier,Allium ampeloprasum L.,,,,Joaquim Santos,https://orcid.org/0000-0002-2160-4968,2023-10-13 09:34:25 UTC
recorded,1897842892,83ae84cf-88e4-4b5c-80b2-271a15a3e0fc,CC_BY_4_0,urn:catalog:AK:AK:AK95683,PRESERVED_SPECIMEN,,42.14725,13.3813333333333,Italy,IT,14/Aug/1875,,Plantae,Amaryllidaceae,,AK,AK,AK95683,E Levier,Allium moschatum L.,,,,Joaquim Santos,https://orcid.org/0000-0002-2160-4968,2023-10-13 09:34:25 UTC
recorded,1897842901,83ae84cf-88e4-4b5c-80b2-271a15a3e0fc,CC_BY_4_0,urn:catalog:AK:AK:AK95672,PRESERVED_SPECIMEN,,44.1135555555556,9.80113888888889,Italy,IT,01/Apr/1883,,Plantae,Amaryllidaceae,,AK,AK,AK95672,E Levier,Allium triquetrum L.,,,,Joaquim Santos,https://orcid.org/0000-0002-2160-4968,2023-10-13 09:34:25 UTC
recorded,1897842976,83ae84cf-88e4-4b5c-80b2-271a15a3e0fc,CC_BY_4_0,urn:catalog:AK:AK:AK95686,PRESERVED_SPECIMEN,,42.0773333333333,13.4123055555556,Italy,IT,19/Jul/1876,,Plantae,Amaryllidaceae,,AK,AK,AK95686,E Levier,Allium paniculatum subsp. pallens L.,,,,Joaquim Santos,https://orcid.org/0000-0002-2160-4968,2023-10-13 09:34:25 UTC
recorded,1897843010,83ae84cf-88e4-4b5c-80b2-271a15a3e0fc,CC_BY_4_0,urn:catalog:AK:AK:AK95669,PRESERVED_SPECIMEN,,42.4348888888889,11.1632777777778,Italy,IT,27/Jun/1886,,Plantae,Amaryllidaceae,,AK,AK,AK95669,E Levier|S Sommier,Allium subhirsutum L.,,,,Joaquim Santos,https://orcid.org/0000-0002-2160-4968,2023-10-13 09:34:25 UTC
recorded,1897843061,83ae84cf-88e4-4b5c-80b2-271a15a3e0fc,CC_BY_4_0,urn:catalog:AK:AK:AK113766,PRESERVED_SPECIMEN,,40.7254722222222,13.8960555555556,Italy,IT,10/Sep/1895,,Plantae,Blechnaceae,,AK,AK,AK113766,E Levier,Woodwardia radicans J.Sm.,,,,Joaquim Santos,https://orcid.org/0000-0002-2160-4968,2023-10-13 09:34:25 UTC
recorded,1897843109,83ae84cf-88e4-4b5c-80b2-271a15a3e0fc,CC_BY_4_0,urn:catalog:AK:AK:AK94777,PRESERVED_SPECIMEN,,43.7315833333333,11.2214444444444,Italy,IT,01/Jan/1886,,Plantae,Asparagaceae,,AK,AK,AK94777,E Levier,Asparagus tenuifolius Lam.,,,,Joaquim Santos,https://orcid.org/0000-0002-2160-4968,2023-10-13 09:34:25 UTC
recorded,1897843119,83ae84cf-88e4-4b5c-80b2-271a15a3e0fc,CC_BY_4_0,urn:catalog:AK:AK:AK94774,PRESERVED_SPECIMEN,,43.8089722222222,11.2410555555556,Italy,IT,01/Oct/1878,,Plantae,Asparagaceae,,AK,AK,AK94774,E Levier,Asparagus acutifolius L.,,,,Joaquim Santos,https://orcid.org/0000-0002-2160-4968,2023-10-13 09:34:25 UTC
recorded,1897843125,83ae84cf-88e4-4b5c-80b2-271a15a3e0fc,CC_BY_4_0,urn:catalog:AK:AK:AK112822,PRESERVED_SPECIMEN,,40.7302222222222,13.89425,Italy,IT,07/Sep/1875,,Plantae,Dryopteridaceae,,AK,AK,AK112822,E Levier,Polystichum setiferum (Forsk.) Woynar,,,,Joaquim Santos,https://orcid.org/0000-0002-2160-4968,2023-10-13 09:34:25 UTC
